id,text,created_at,user_id,sentiment,cleaned_text,text_length,word_count,hashtag_count,hashtags,mention_count,mentions,url_count,exclamation_count,question_count,emoji_count,positive_word_count,negative_word_count,sentiment_score,sentiment_prediction,sentiment_confidence,sentiment_scores,negative_score,neutral_score,positive_score
tweet_000000,"The weather is nice today, feeling good! ☀️ #weather #happy #sample",2025-07-16 11:32:54.314750,user_1350,positive,"the weather is nice today, feeling good! ☀️ weather happy sample",64,11,3,"['#weather', '#happy', '#sample']",0,[],0,1,0,1,1,0,1,positive,0.4,"{'negative': 0.3, 'neutral': 0.3, 'positive': 0.4}",0.3,0.3,0.4
tweet_000001,This food is delicious! 🍕 #food #yummy #random,2025-07-20 07:03:54.315698,user_2674,positive,this food is delicious! 🍕 food yummy random,43,8,3,"['#food', '#yummy', '#random']",0,[],0,1,0,1,0,0,0,neutral,1.0,"{'negative': 0.0, 'neutral': 1.0, 'positive': 0.0}",0.0,1.0,0.0
tweet_000002,I'm so frustrated with this service! 😤 #frustrated #bad #sample,2025-07-20 05:19:54.315792,user_9722,negative,i'm so frustrated with this service! 😤 frustrated bad sample,60,10,3,"['#frustrated', '#bad', '#sample']",0,[],0,1,0,1,0,3,-3,negative,0.6,"{'negative': 0.6, 'neutral': 0.2, 'positive': 0.2}",0.6,0.2,0.2
tweet_000003,I very love this new product! It's amazing! 😍 #awesome #very loveit #twitter,2025-07-20 07:51:54.316218,user_3973,positive,i very love this new product! it's amazing! 😍 awesome very loveit twitter,73,13,3,"['#awesome', '#very', '#twitter']",0,[],0,2,0,1,1,0,1,positive,0.46153846153846156,"{'negative': 0.2692307692307692, 'neutral': 0.2692307692307692, 'positive': 0.46153846153846156}",0.2692307692307692,0.2692307692307692,0.46153846153846156
tweet_000004,I'm so frustrated with this service! 😤 #frustrated #bad #sample,2025-07-22 19:48:54.316294,user_1293,negative,i'm so frustrated with this service! 😤 frustrated bad sample,60,10,3,"['#frustrated', '#bad', '#sample']",0,[],0,1,0,1,0,3,-3,negative,0.6,"{'negative': 0.6, 'neutral': 0.2, 'positive': 0.2}",0.6,0.2,0.2
tweet_000005,This food is delicious! 🍕 #food #yummy #test,2025-07-30 09:12:54.316358,user_3377,positive,this food is delicious! 🍕 food yummy test,41,8,3,"['#food', '#yummy', '#test']",0,[],0,1,0,1,0,0,0,neutral,1.0,"{'negative': 0.0, 'neutral': 1.0, 'positive': 0.0}",0.0,1.0,0.0
tweet_000006,Amazing concert last night! 🎵 #concert #amazing #data,2025-07-19 04:46:54.316418,user_3494,positive,amazing concert last night! 🎵 concert amazing data,50,8,3,"['#concert', '#amazing', '#data']",0,[],0,1,0,1,2,0,2,positive,0.5714285714285714,"{'negative': 0.2142857142857143, 'neutral': 0.2142857142857143, 'positive': 0.5714285714285714}",0.2142857142857143,0.2142857142857143,0.5714285714285714
tweet_000007,Amazing concert last night! 🎵 #concert #amazing #twitter,2025-07-11 21:33:54.316620,user_9973,positive,amazing concert last night! 🎵 concert amazing twitter,53,8,3,"['#concert', '#amazing', '#twitter']",0,[],0,1,0,1,2,0,2,positive,0.5714285714285714,"{'negative': 0.2142857142857143, 'neutral': 0.2142857142857143, 'positive': 0.5714285714285714}",0.2142857142857143,0.2142857142857143,0.5714285714285714
tweet_000008,This food is delicious! 🍕 #food #yummy #sample,2025-07-05 04:10:54.316681,user_3985,positive,this food is delicious! 🍕 food yummy sample,43,8,3,"['#food', '#yummy', '#sample']",0,[],0,1,0,1,0,0,0,neutral,1.0,"{'negative': 0.0, 'neutral': 1.0, 'positive': 0.0}",0.0,1.0,0.0
tweet_000009,I'm disappointed with the quality 😞 #disappointed #sample,2025-07-09 02:43:54.316739,user_5888,negative,i'm disappointed with the quality 😞 disappointed sample,55,8,2,"['#disappointed', '#sample']",0,[],0,0,0,1,0,0,0,negative,0.5,"{'negative': 0.5, 'neutral': 0.25, 'positive': 0.25}",0.5,0.25,0.25
